year,title,length,score,sales,genre
1998,The Siege,9,60,116,Drama
1998,Meet Joe Black,14,69,142,Fantasy
1998,I Still Know What You Did Last Summer,37,51,40,Horror
Family,Family,Family,Family,Family,Family
1998,Enemy of the State,18,67,250,Action
1998,Home Fries,10,48,10,Drama
1998,Babe: Pig in the City,21,52,69,Adventure
1998,A Bug's Life,12,68,363,Adventure
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1998,Shakespeare in Love,19,68,289,Romance
1998,The Prince of Egypt,19,68,218,Adventure
1998,You've Got Mail,15,63,250,Comedy
1998,The Thin Red Line,17,72,98,Drama
1998,The Faculty,11,62,40,Horror
1998,Patch Adams,11,70,202,Comedy
1999,She's All That,14,57,103,Comedy
1999,Jawbreaker,10,59,3,Comedy
1999,Simply Irresistible,19,55,4,Comedy
1999,Payback,7,67,161,Drama
1999,My Favorite Martian,19,51,36,Comedy
1999,Blast from the Past,19,63,40,Comedy
1999,Office Space,12,74,12,Comedy
1999,Message in a Bottle,19,58,118,Romance
1999,8MM,3,61,96,Thriller
1999,200 Cigarettes,14,61,6,Comedy
1999,Cruel Intentions,16,66,75,Drama
1999,Analyze This,12,64,176,Comedy
1999,The Rage: Carrie 2,18,51,17,Horror
1999,The Deep End of the Ocean,25,59,28,Drama
1999,The Corruptor,13,60,15,Action
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1999,Tea with Mussolini,18,58,21,Comedy
1999,The Matrix,10,79,463,Action
1999,10 Things I Hate About You,26,73,53,Comedy
1999,The Out-of-Towners,18,50,29,Comedy
1999,Go,2,70,28,Crime
1999,Foolish,7,63,6,Comedy
1999,eXistenZ,8,67,2,Action
1999,An Ideal Husband,16,63,18,Drama
1999,The Thirteenth Floor,20,68,18,Thriller
1999,The Virgin Suicides,19,71,10,Drama
1999,Entrapment,10,60,212,Romance
1999,Idle Hands,10,61,4,Thriller
1999,Trippin',8,45,9,Comedy
1999,Notting Hill,12,70,363,Romance
1999,East Is East,12,65,28,Comedy
1999,The Limey,9,66,3,Action
1999,Star Wars: Episode I - The Phantom Menace,41,63,924,Adventure
1999,Limbo,5,70,1,Adventure
1999,Human Traffic,13,68,4,Comedy
1999,Austin Powers: The Spy Who Shagged Me,37,62,310,Adventure
1999,The General's Daughter,22,61,149,Crime
1999,Big Daddy,9,61,234,Comedy
1999,Wild Wild West,14,51,222,Action
1999,American Pie,12,64,235,Comedy
1999,The Blair Witch Project,23,63,248,Horror
1999,Muppets from Space,18,58,16,Fantasy
Drama,Drama,Drama,Drama,Drama,Drama
1999,Lake Placid,11,55,56,Horror
1999,The Wood,8,71,25,Comedy
1999,The Haunting,12,52,91,Horror
1999,Drop Dead Gorgeous,18,64,10,Comedy
1999,Deep Blue Sea,13,56,73,Action
1999,Runaway Bride,13,57,309,Comedy
1999,Dick,4,57,27,Comedy
1999,Universal Soldier: The Return,29,42,10,Action
1999,The Thomas Crown Affair,23,66,124,Drama
Drama,Drama,Drama,Drama,Drama,Drama
1999,The Iron Giant,14,76,23,Adventure
1999,Mystery Men,11,57,29,Adventure
1999,Detroit Rock City,17,67,4,Comedy
1999,Brokedown Palace,16,62,13,Drama
1999,Outside Providence,18,56,7,Romance
1999,The Ninth Gate,14,63,58,Horror
1999,In Too Deep,11,62,14,Drama
1999,The Astronaut's Wife,20,54,19,Drama
1999,The 13th Warrior,16,64,61,Adventure
1999,Chill Factor,12,53,11,Action
1999,Boys Don't Cry,14,72,11,Crime
1999,Stir of Echoes,14,65,21,Horror
1999,Stigmata,8,60,50,Horror
1999,American Beauty,15,79,356,Drama
1999,The Hurricane,13,72,73,Drama
1999,Blue Streak,11,61,117,Action
1999,Double Jeopardy,15,62,177,Crime
1999,Three Kings,11,66,108,Action
1999,Being John Malkovich,20,73,22,Fantasy
1999,"Mystery, Alaska",15,60,8,Drama
1999,Drive Me Crazy,14,58,22,Drama
1999,Random Hearts,13,53,74,Drama
1999,The Story of Us,15,59,58,Comedy
1999,The Omega Code,14,44,2,Horror
1999,Fight Club,10,83,100,Drama
1999,The Messenger: The Story of Joan of Arc,39,62,66,Adventure
1999,The Best Man,12,68,34,Drama
1999,The Insider,11,73,60,Drama
1999,House on Haunted Hill,21,55,40,Horror
Family,Family,Family,Family,Family,Family
1999,The Bone Collector,18,65,151,Drama
1999,The World Is Not Enough,23,60,361,Adventure
1999,Dogma,5,68,30,Fantasy
1999,Anywhere But Here,17,59,18,Drama
1999,End of Days,11,55,211,Action
1999,Flawless,8,59,4,Comedy
1999,Tumbleweeds,11,62,1,Comedy
1999,The End of the Affair,21,66,10,Drama
1999,"Happy, Texas",12,55,1,Comedy
1999,Magnolia,8,75,48,Drama
1999,The Green Mile,14,82,284,Fantasy
1999,Deuce Bigalow: Male Gigolo,26,55,65,Comedy
1999,Godzilla 2000,13,59,10,Adventure
1999,Any Given Sunday,16,68,100,Drama
